Practice_Name,Long,Lat,Population
Ashfield Surgery,-1.799895722,52.54072401,15607
Manor Practice,-1.823609905,52.55817549,17498
Hawthorns Surgery,-1.825957691,52.53876042,11156
Firstcare Health Centre,-1.887942922,52.45739497,6321
Fernley Medical Centre,-1.864561091,52.4516169,8658
Balsall Heath Health Centre -W,-1.887942922,52.45739497,5228
Sparks Medical Group - Sparkbrook  Health Centre,-1.877780785,52.46559277,4862
Highgate Medical Centre,-1.887454421,52.46437975,4318
Springfield Medical Practice,-1.859623164,52.44496757,2977
Balsall Heath Health Centre - South,-1.887942922,52.45739497,3775
The Hill General Practice,-1.858638686,52.44457085,5892
Church Lane - Khan,-1.793955955,52.48707074,3492
Omnia Practice,-1.839076407,52.47572332,17161
Yardley Green Medical Centre,-1.839076407,52.47572332,10817
Bucklands End Lane Surgery,-1.799856356,52.49782387,6299
Druid Group - Ejaz Medical Centre,-1.942002901,52.48629203,11758
Poolway Medical Centre,-1.795628298,52.48532059,2015
Swan Medical Centre,-1.817590815,52.46259386,7405
Victoria Road Surgery,-1.819636657,52.44446425,4384
Small Heath Medical Practice,-1.861877039,52.47256954,5595
